FNDDS code,FNDDS description,Species,FL Score,Weighted_Risk_Total,Weighted_Risk_Total_NOFEED,Notes
26141130,"Sea bass, coated, baked or broiled, fat added",Sea bass,"Demersal, average",1306,1306,
26141140,"Sea bass, coated, fried",Sea bass,"Demersal, average",1306,1306,
26141110,"Sea bass, cooked, NS as to cooking method",Sea bass,"Demersal, average",1306,1306,
26141160,"Sea bass, steamed or poached",Sea bass,"Demersal, average",1306,1306,
26143120,"Shark, baked or broiled, fat added",Shark,"Demersal, average",1306,1306,
27250130,Shrimp and noodles with cheese sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250126,Shrimp and noodles with cream or white sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250128,Shrimp and noodles with soy-based sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250132,Shrimp and noodles with tomato sauce,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250120,"Shrimp and noodles, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450405,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450420,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28154010,"Shrimp and vegetables in sauce with noodles, diet frozen meal",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450400,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450410,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27250400,Shrimp cake or patty,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27350050,Shrimp chow mein or chop suey with noodles,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450040,"Shrimp chow mein or chop suey, no noodles",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150110,Shrimp cocktail,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450450,"Shrimp creole, no rice",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27350060,"Shrimp creole, with rice",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150100,Shrimp curry,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355440,Shrimp gumbo,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27450070,Shrimp salad,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150230,Shrimp scampi,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355410,"Shrimp soup, cream of, NS as to prepared with milk or water",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355420,"Shrimp soup, cream of, prepared with milk",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
28355430,"Shrimp soup, cream of, prepared with water",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150410,Shrimp teriyaki,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319121,"Shrimp, baked or broiled, made with butter",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319124,"Shrimp, baked or broiled, made with cooking spray",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319122,"Shrimp, baked or broiled, made with margarine",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319120,"Shrimp, baked or broiled, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319123,"Shrimp, baked or broiled, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319123,"Shrimp, baked or broiled, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319161,"Shrimp, coated, baked or broiled, made with butter",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319160,"Shrimp, coated, baked or broiled, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319163,"Shrimp, coated, baked or broiled, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319163,"Shrimp, coated, baked or broiled, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319145,"Shrimp, coated, fried, from fast food / restaurant",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319140,"Shrimp, coated, fried, made with oil",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319143,"Shrimp, coated, fried, made without fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319143,"Shrimp, coated, fried, no added fat",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319110,"Shrimp, cooked, NS as to cooking method",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319130,"Shrimp, steamed or boiled",Shrimp,"Crustaceans, average (shrimps)",4136,3132,
27150170,Sweet and sour shrimp,Shrimp,"Crustaceans, average (shrimps)",4136,3132,
26319170,"Shrimp, dried",Shrimp,"Crustaceans, cured (shrimps)",4967,4419,
26321110,"Snails, cooked, NS as to cooking method",Snails,"Molluscs, average",2043,2012,
26213120,"Squid, baked or broiled, fat added",Squid,"Cephalopods, average",5846,5846,
26213120,"Squid, baked or broiled, fat added in cooking",Squid,"Cephalopods, average",5846,5846,
26213140,"Squid, coated, fried",Squid,"Cephalopods, average",5846,5846,
